service_id,date,exception_type
28127-30127-31127-4127-7127,20151113,1
28127-30127-31127-4127-7127,20151119,1
28127-30127-31127-4127-7127,20151120,1
28127-30127-31127-4127-7127,20151123,1
28127-30127-31127-4127-7127,20151124,1
28127-30127-31127-4127-7127,20151125,1
28127-30127-31127-4127-7127,20151126,1
28127-30127-31127-4127-7127,20151127,1
28127-30127-31127-4127-7127,20151130,1
28127-30127-31127-4127-7127,20151201,1
28127-30127-31127-4127-7127,20151202,1
28127-30127-31127-4127-7127,20151203,1
28127-30127-31127-4127-7127,20151204,1
28127-30127-31127-4127-7127,20151207,1
28127-30127-31127-4127-7127,20151208,1
28127-30127-31127-4127-7127,20151209,1
28127-30127-31127-4127-7127,20151210,1
28127-30127-31127-4127-7127,20151211,1
28127-30127-31127-4127-7127,20151214,1
28127-30127-31127-4127-7127,20151215,1
28127-30127-31127-4127-7127,20151218,1
29127-5127,20151112,1
29127-5127,20151113,1
29127-5127,20151120,1
29127-5127,20151123,1
29127-5127,20151124,1
29127-5127,20151125,1
29127-5127,20151126,1
29127-5127,20151127,1
29127-5127,20151130,1
29127-5127,20151204,1
29127-5127,20151207,1
29127-5127,20151208,1
29127-5127,20151209,1
29127-5127,20151210,1
29127-5127,20151211,1
29127-5127,20151214,1
29127-5127,20151215,1
29127-5127,20151216,1
29127-5127,20151217,1
29127-5127,20151218,1
3127,20151112,1
3127,20151113,1
3127,20151116,1
3127,20151117,1
3127,20151118,1
3127,20151119,1
3127,20151120,1
32127-33127,20151201,1
32127-33127,20151202,1
32127-33127-34127,20151201,1
32127-33127-34127,20151202,1
32127-33127-34127,20151203,1
35127,20151207,1
35127,20151208,1
35127,20151209,1
35127,20151210,1
35127,20151211,1
35127,20151214,1
35127,20151215,1
35127,20151216,1
35127,20151217,1
35127,20151218,1
35127-6127,20151112,1
35127-6127,20151113,1
35127-6127,20151116,1
35127-6127,20151117,1
35127-6127,20151118,1
35127-6127,20151119,1
35127-6127,20151120,1
35127-6127,20151123,1
35127-6127,20151124,1
35127-6127,20151125,1
35127-6127,20151126,1
35127-6127,20151127,1
35127-6127,20151130,1
35127-6127,20151201,1
35127-6127,20151202,1
35127-6127,20151203,1
35127-6127,20151204,1
35127-6127,20151207,1
35127-6127,20151208,1
35127-6127,20151209,1
35127-6127,20151210,1
35127-6127,20151211,1
35127-6127,20151214,1
35127-6127,20151215,1
35127-6127,20151216,1
35127-6127,20151217,1
35127-6127,20151218,1
37127,20151212,1
37127,20151219,1
37127,20151226,1
37127,20151228,1
