stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding
1295,"SAINT-EGREVE, LA BIOLLE - GARE",45.23522,5.66953,,GENGARESNCF,1
1296,"SAINT-EGREVE, LA BIOLLE - GARE",45.2355,5.66988,,GENGARESNCF,0
1297,"SAINT-EGREVE, SAINT EGREVE GARE",45.23581,5.67154,,GENSTEGVGAR,1
1298,"SAINT-EGREVE, BELLEDONNE",45.22268,5.684,,GENBELLEDON,1
1299,"SAINT-EGREVE, BELLEDONNE",45.22272,5.68403,,GENBELLEDON,1
1303,"SAINT-EGREVE, LES GLAIRAUX",45.21852,5.67991,,GENGLAIRAUX,1
1304,"SAINT-EGREVE, LES GLAIRAUX",45.21878,5.67956,,GENGLAIRAUX,1
1310,"LE PONT-DE-CLAIX, LA LUIRE",45.14003,5.69852,,GENLALUIRE,1
1316,"EYBENS, GENERAL DE GAULLE",45.16113,5.74449,,GENDEGAULLE,1
1317,"EYBENS, GENERAL DE GAULLE",45.1624,5.74402,,GENDEGAULLE,1
1318,"EYBENS, LE BOURG",45.14791,5.75117,,GENLEBOURG,1
1319,"EYBENS, LE BOURG",45.14781,5.75116,,GENLEBOURG,1
1327,"GRENOBLE, LE RABOT",45.19505,5.72342,,GENRABOT,1
1329,"SAINT-EGREVE, FIANCEY - PREDIEU",45.22352,5.68752,,GENPREDIEU,1
1330,"SAINT-EGREVE, FIANCEY - PREDIEU",45.22339,5.68704,,GENPREDIEU,1
1333,"EYBENS, LA GRANGE DU CHATEAU",45.1485,5.75257,,GENGRANGECH,1
1359,"ECHIROLLES, GUY MOCQUET",45.14548,5.72585,,GENGUYMOCQU,1
1360,"ECHIROLLES, GUY MOCQUET",45.14511,5.72519,,GENGUYMOCQU,1
1361,"SASSENAGE, LE GUA",45.20969,5.66443,,GENLEGUA,1
1362,"SASSENAGE, L'OVALIE",45.20967,5.66695,,GENOVALIE,1
1365,"SASSENAGE, LE GUA",45.20971,5.66437,,GENLEGUA,1
1373,"NOYAREY, VILLAGE",45.24725,5.62706,,GENNOYVILLA,0
1374,"NOYAREY, VILLAGE",45.24726,5.62711,,GENNOYVILLA,0
1376,"SAINT-EGREVE, SAINT EGREVE GARE",45.23531,5.67151,,GENSTEGVGAR,1
1379,"LE PONT-DE-CLAIX, IRENE JOLIOT CURIE",45.12742,5.69856,,GENIRENEJOL,1
1380,"LE PONT-DE-CLAIX, IRENE JOLIOT CURIE",45.128,5.69892,,GENIRENEJOL,1
1383,"ECHIROLLES, VISCOSE",45.15791,5.70904,,GENVISCOSE,1
1384,"ECHIROLLES, VISCOSE",45.15738,5.70865,,GENVISCOSE,1
1399,"SASSENAGE, COMPLEXE SPORTIF",45.21142,5.67272,,GENCOMPLEXE,1
1400,"SASSENAGE, FRANCOIS BLUMET",45.20966,5.677,,GENFRBLUMET,0
1403,"GRENOBLE, MARTYRS - RESISTANCE",45.2081,5.69661,,GENMARESIST,1
1404,"GRENOBLE, MARTYRS - RESISTANCE",45.20844,5.69644,,GENMARESIST,1
1406,"SASSENAGE, FRANCOIS BLUMET",45.20994,5.67673,,GENFRBLUMET,0
1407,"SASSENAGE, COMPLEXE SPORTIF",45.21136,5.67252,,GENCOMPLEXE,1
